Run finished at Thu Jan 18 10:48:07 2024
Global runtime       = 29114ms / 29.114s
Number of processors = 1
# Rank: 0

                                                  Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
---------------------------------------------------------------------------------------------------------------------------------------
                                                _GLOBAL |          1 |      29114 |      29114 |      29114 |      29114 |          1 |
                                                advance |        275 |      18264 |         83 |         34 |         66 |      0.627 |
                                    advance/ApplyFilter |        174 |         53 |          0 |          0 |          0 |    0.00182 |
                   advance/cpl.computeQuasiNewtonUpdate |        175 |         70 |          0 |          0 |          0 |     0.0024 |
                                advance/m2n.receiveData |        275 |      18107 |         82 |         33 |         65 |      0.622 |
                                   advance/m2n.sendData |        275 |          7 |          0 |          0 |          0 |    0.00024 |
                                              configure |          1 |          0 |          0 |          0 |          0 |          0 |
                                               finalize |          1 |         44 |         44 |         44 |         44 |    0.00151 |
                                             initialize |          1 |        102 |        102 |        102 |        102 |     0.0035 |
             initialize/m2n.acceptPrimaryRankConnection |          1 |          1 |          1 |          1 |          1 |   3.43e-05 |
          initialize/m2n.acceptSecondaryRanksConnection |          1 |        100 |        100 |        100 |        100 |    0.00343 |
            initialize/m2n.broadcastVertexDistributions |          1 |          0 |          0 |          0 |          0 |          0 |
                   initialize/m2n.buildCommunicationMap |          1 |          0 |          0 |          0 |          0 |          0 |
                    initialize/m2n.createCommunications |          1 |          0 |          0 |          0 |          0 |          0 |
              initialize/m2n.exchangeVertexDistribution |          1 |         99 |         99 |         99 |         99 |     0.0034 |
             initialize/partition.gatherMesh.Solid-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
            initialize/partition.prepareMesh.Solid-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
         initialize/partition.sendGlobalMesh.Solid-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
     initialize/query.index.getEdgeIndexTree.Solid-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
 initialize/query.index.getTriangleIndexTree.Solid-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
   initialize/query.index.getVertexIndexTree.Solid-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                                         initializeData |          1 |          0 |          0 |          0 |          0 |          0 |
                                         solver.advance |        275 |      10650 |         71 |          6 |         38 |      0.366 |
                                      solver.initialize |          1 |         51 |         51 |         51 |         51 |    0.00175 |


                                                   Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
--------------------------------------------------------------------------------------------------------------------------
                                                _GLOBAL |      29114 |          0 |      29114 |          0 |          1 |
                                                advance |         83 |          0 |         34 |          0 |   0.409639 |
                                    advance/ApplyFilter |          0 |          0 |          0 |          0 |          0 |
                   advance/cpl.computeQuasiNewtonUpdate |          0 |          0 |          0 |          0 |          0 |
                                advance/m2n.receiveData |         82 |          0 |         33 |          0 |   0.402439 |
                                   advance/m2n.sendData |          0 |          0 |          0 |          0 |          0 |
                                              configure |          0 |          0 |          0 |          0 |          0 |
                                               finalize |         44 |          0 |         44 |          0 |          1 |
                                             initialize |        102 |          0 |        102 |          0 |          1 |
             initialize/m2n.acceptPrimaryRankConnection |          1 |          0 |          1 |          0 |          1 |
          initialize/m2n.acceptSecondaryRanksConnection |        100 |          0 |        100 |          0 |          1 |
            initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                   initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                    initialize/m2n.createCommunications |          0 |          0 |          0 |          0 |          0 |
              initialize/m2n.exchangeVertexDistribution |         99 |          0 |         99 |          0 |          1 |
             initialize/partition.gatherMesh.Solid-Mesh |          0 |          0 |          0 |          0 |          0 |
            initialize/partition.prepareMesh.Solid-Mesh |          0 |          0 |          0 |          0 |          0 |
         initialize/partition.sendGlobalMesh.Solid-Mesh |          0 |          0 |          0 |          0 |          0 |
     initialize/query.index.getEdgeIndexTree.Solid-Mesh |          0 |          0 |          0 |          0 |          0 |
 initialize/query.index.getTriangleIndexTree.Solid-Mesh |          0 |          0 |          0 |          0 |          0 |
   initialize/query.index.getVertexIndexTree.Solid-Mesh |          0 |          0 |          0 |          0 |          0 |
                                         initializeData |          0 |          0 |          0 |          0 |          0 |
                                         solver.advance |         71 |          0 |          6 |          0 |   0.084507 |
                                      solver.initialize |         51 |          0 |         51 |          0 |          1 |
