dt,diff-N50,diff-N100,diff-N150,rmse-N50,rmse-N100,rmse-N150
1e-05,0.0,0.0,0.0,0.00011397129367093159,2.9724033379201423e-05,1.5178616059267535e-05
2e-05,1.2231840113702264e-06,1.075788041982051e-09,2.399608983738588e-11,0.0001088595083636551,2.9662076881179325e-05,1.5176354943858329e-05
5e-05,2.873170006134629e-06,1.86804149926445e-09,2.6025155988596005e-10,0.00010565313801065054,2.9618549705615893e-05,1.5166677177604573e-05
0.0001,3.961995920426231e-06,3.2305146752120706e-09,2.038331513992686e-09,0.00010572319387074607,2.9579427647091553e-05,1.5108339548335676e-05
0.0002,4.790303679350072e-06,1.2882640572364767e-08,1.466692109430845e-08,0.00010669993518107531,2.9373189080042915e-05,1.4710863841524008e-05
0.0005,5.467048717011647e-06,1.50245623484202e-07,1.616472566218219e-07,0.00010775595610336265,2.6591703548517567e-05,1.0192818644013977e-05
0.001,5.742516754753124e-06,9.116718789961564e-07,8.476804734432186e-07,0.00010805658394763131,1.2496918636868054e-05,1.1942286251279087e-05
0.002,5.8999449008279026e-06,4.8585671819922904e-06,3.97596930461902e-06,0.00010807579879692007,7.373799685653421e-05,0.00010933369714989591
0.005,6.08431632566353e-06,3.710631650127166e-05,2.721297871661338e-05,0.00010786146372906063,0.0007463534831902279,0.0008353323445674415
0.01,6.713324439189261e-06,0.00015519358438861874,0.0001088471580755028,0.00010740112031913792,0.003228075309316891,0.0034072068924413806
0.02,1.0744324579800568e-05,0.0005909424938219873,0.0004044690034364848,0.00011464614784557084,0.012613804866471633,0.012961554352566951
0.05,5.50110208590443e-05,0.0026883786694658837,0.001811578611691126,0.0005173425315499391,0.06719545320687148,0.06802506438368916
0.1,0.0002489042528966978,-,-,0.0025513455145793123,-,-
0.2,0.001038254078098197,-,-,0.011038191956282788,-,-
0.5,0.005082004364463474,-,-,0.06302274711517179,-,-
